"District.Name","Average.Salary","Total.Students","percent_students_in_art","White..","percent_black_hispanic","percent_take_sat","percent_disciplined"
"Abington","  $94,149",2107,79.4494542002848,78.7,16.5,5.98006644518272,3.65448504983389
"Acton-Boxborough","  $89,246",5164,76.4136328427576,51.6,9.7,8.69481022463207,1.25871417505809
"Agawam","  $84,533",3357,86.0291927316056,80.3,13.1,3.15758117366696,3.99165921954126
"Amesbury","  $81,751",1830,90.7103825136612,82.6,11.6,5.51912568306011,2.18579234972678
"Amherst-Pelham","  $85,588",1285,71.1284046692607,54.6,26.8,9.88326848249027,1.55642023346304
"Andover","  $91,896",5508,90.0326797385621,66.5,10.6,7.29847494553377,0.798838053740014
"Arlington","  $81,650",5692,87.1047083626142,69.8,9.8,6.79901616303584,1.08924806746311
"Ashburnham-Westminster","  $71,534",2187,78.7379972565158,89.3,6.7,3.24645633287609,3.33790580704161
"Ashland","  $83,540",2720,88.4191176470588,62.4,17.7,8.30882352941176,2.5
"Assabet Valley Regional Vocational Technical","  $78,434",1138,14.7627416520211,73,24,6.15114235500879,5.18453427065026
"Athol-Royalston","  $66,567",1426,87.2370266479663,81.4,13.4,0.771388499298738,8.97615708274895
"Attleboro","  $88,775",5630,84.4227353463588,66.3,22.5,4.38721136767318,5.57726465364121
"Auburn","  $77,553",2451,89.5144838841289,79.9,12.2,5.4671562627499,3.79436964504284
"Avon","  $78,345",680,88.5294117647059,45.8,42.4,4.11764705882353,3.97058823529412
"Ayer Shirley School District","  $70,600",1552,97.4871134020619,74.9,14.9,4.31701030927835,3.54381443298969
"Barnstable","  $85,128",4567,80.7313334793081,61.4,29.2,3.45960148894241,6.02145828771623
"Bedford","  $97,644",2583,84.3205574912892,60.6,13.8,8.36236933797909,2.24545102593883
"Belchertown","  $74,501",2132,87.1482176360225,86.7,8.2,5.48780487804878,3.23639774859287
"Bellingham","  $82,383",1933,79.7723745473357,84.4,9.6,4.55250905328505,1.13812726332126
"Belmont","  $96,334",4371,86.8908716540837,63,7.4,7.52688172043011,0.800732097918097
"Berkshire Hills","  $79,805",1158,70.1208981001727,77.9,12.9,8.37651122625216,2.15889464594128
"Berlin-Boylston","  $76,764",1024,84.9609375,82.5,9,5.56640625,1.26953125
"Beverly","  $80,233",4549,86.8762365355023,75,18.4,6.30907891844361,3.58320510002198
"Billerica","  $92,504",4485,87.0011148272018,74.1,13.4,5.12820512820513,2.1850613154961
"Blackstone Valley Regional Vocational Technical","  $82,442",1231,39.1551584077985,86.4,9.1,23.5580828594638,2.68074735987002
"Blackstone-Millville","  $77,485",1526,87.4180865006553,84.7,10.2,3.01441677588467,9.63302752293578
"Blue Hills Regional Vocational Technical","  $92,172",874,18.7643020594966,54.4,37.2,11.6704805491991,4.5766590389016
"Boston"," $105,235",45385,68.4785722154897,14.8,72.3,7.20282031508208,4.08284675553597
"Bourne","  $86,901",1612,89.8263027295285,85.9,7.2,8.06451612903226,4.03225806451613
"Braintree","  $89,698",5395,82.1130676552363,63.6,10.5,8.22984244670992,2.7062094531974
"Bridgewater-Raynham","  $88,568",5202,67.2241445597847,80.8,11.6,5.2479815455594,2.03767781622453
"Bristol County Agricultural","  $74,301",448,0,91.1,6.7,7.58928571428571,2.90178571428571
