District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Abby Kelley Foster Charter Public (District),04450000,"   1,447",43.00,   0.4,   2.8,   0.0,   0.0,   0.0,   0.0,   0.0
Abington,00010000,"   2,246",77.00,   2.1,   2.0,   0.0,   0.0,   0.0,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,     534,58.00,   3.4,   6.6,   0.0,   0.6,   4.3,   0.0,   0.0
Acton-Boxborough,06000000,"   5,342",65.00,   0.6,   0.7,   0.0,   0.0,   0.1,   0.0,   0.0
Acushnet,00030000,     960,24.00,   2.2,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,     981,52.00,   2.0,   3.8,   0.0,   0.0,   0.0,   0.0,   0.0
Agawam,00050000,"   3,635",134.00,   2.3,   2.2,   0.0,   0.0,   0.0,   0.0,   0.1
Alma del Mar Charter School (District),04090000,     978,82.00,   3.3,   6.2,   0.0,   0.1,   1.6,   0.0,   0.0
Amesbury,00070000,"   1,894",40.00,   1.8,   0.4,   0.0,   0.0,   0.0,   0.0,   0.0
Amherst,00080000,"   1,100",2.00,,,,,,,
Amherst-Pelham,06050000,"   1,308",20.00,   0.0,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
Andover,00090000,"   5,612",44.00,   0.5,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
Argosy Collegiate Charter School (District),35090000,     577,170.00,  22.7,  15.4,   0.5,   0.0,   4.9,   0.0,   0.0
Arlington,00100000,"   6,063",62.00,   0.6,   0.5,   0.0,   0.0,   0.1,   0.0,   0.0
Ashburnham-Westminster,06100000,"   2,337",73.00,   2.7,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
Ashland,00140000,"   3,010",68.00,   1.2,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
Assabet Valley Regional Vocational Technical,08010000,"   1,145",59.00,   0.0,   5.2,   0.0,   0.0,   0.0,   0.0,   0.0
Athol-Royalston,06150000,"   1,655",128.00,   5.4,   5.9,   0.0,   0.0,   0.0,   0.0,   0.0
Atlantis Charter (District),04910000,"   1,316",136.00,  10.0,   2.1,   0.2,   0.0,   0.5,   0.0,   0.0
Attleboro,00160000,"   6,141",314.00,   2.7,   2.6,   0.0,   0.0,   1.8,   0.0,   0.0
Auburn,00170000,"   2,644",93.00,   1.6,   2.6,   0.0,   0.0,   0.0,   0.0,   0.1
Avon,00180000,     744,27.00,   0.9,   2.7,   0.0,   0.0,   0.4,   0.0,   0.0
Ayer Shirley School District,06160000,"   1,682",55.00,   2.4,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
Barnstable,00200000,"   5,177",275.00,   0.3,   5.0,   0.0,   0.0,   0.3,   0.0,   0.0
Baystate Academy Charter Public School (District),35020000,     465,117.00,   0.2,  24.7,   0.4,   0.0,   0.0,   0.0,   0.0
Bedford,00230000,"   2,677",58.00,   0.9,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
Belchertown,00240000,"   2,193",69.00,   1.6,   1.9,   0.0,   0.0,   0.0,   0.0,   0.1
Bellingham,00250000,"   2,085",22.00,   0.1,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Belmont,00260000,"   4,509",35.00,   0.1,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Benjamin Banneker Charter Public (District),04200000,     344,0.00,,,,,,,
Benjamin Franklin Classical Charter Public (District),04470000,     827,10.00,   0.6,   0.7,   0.0,   0.0,   0.2,   0.0,   0.0
Berkley,00270000,     891,19.00,   0.7,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0
Berkshire Arts and Technology Charter Public (District),04140000,     388,30.00,   3.1,   5.7,   0.0,   0.0,   0.0,   0.0,   0.0
Berkshire Hills,06180000,"   1,237",25.00,   1.3,   1.2,   0.0,   0.0,   0.0,   0.1,   0.0
Berlin-Boylston,06200000,"   1,090",13.00,   0.3,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Beverly,00300000,"   4,832",163.00,   1.9,   2.2,   0.0,   0.0,   0.0,   0.0,   0.0
Billerica,00310000,"   4,940",98.00,   0.1,   1.9,   0.0,   0.0,   0.0,   0.0,   0.0
Blackstone Valley Regional Vocational Technical,08050000,"   1,237",33.00,   0.1,   2.7,   0.0,   0.0,   0.0,   0.0,   0.0
Blackstone-Millville,06220000,"   1,614",147.00,   6.8,   4.2,   0.0,   0.0,   0.2,   0.1,   0.0
Blue Hills Regional Vocational Technical,08060000,     918,40.00,   0.0,   4.2,   0.0,   0.0,   0.1,   0.0,   0.0
Boston,00350000,"  50,036",1853.00,   0.4,   3.4,   0.0,   0.0,   0.2,   0.0,   0.0
Boston Collegiate Charter (District),04490000,     723,70.00,   2.5,   7.7,   0.0,   0.1,   1.0,   0.0,   0.0
Boston Day and Evening Academy Charter (District),04240000,     458,12.00,   0.0,   2.6,   0.0,   0.0,   0.0,   0.0,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,     495,60.00,   0.2,  10.7,   0.0,   0.0,   2.8,   0.0,   0.0
Boston Preparatory Charter Public (District),04160000,     702,130.00,   0.9,  18.2,   0.0,   0.0,   0.0,   0.0,   0.0
Boston Renaissance Charter Public (District),04810000,     976,33.00,   1.2,   2.5,   0.0,   0.0,   0.0,   0.0,   0.0
Bourne,00360000,"   1,654",65.00,   1.1,   2.8,   0.0,   0.0,   0.0,   0.1,   0.1
Boxford,00380000,     758,1.00,,,,,,,
Braintree,00400000,"   5,564",146.00,   0.3,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0
Brewster,00410000,     453,10.00,   2.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Bridge Boston Charter School (District),04170000,     343,6.00,   0.3,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
Bridgewater-Raynham,06250000,"   5,601",106.00,   0.8,   1.4,   0.1,   0.0,   0.1,   0.0,   0.0
Brimfield,00430000,     288,1.00,,,,,,,
Bristol County Agricultural,09100000,     502,13.00,   0.0,   2.6,   0.0,   0.0,   0.0,   0.0,   0.0
Bristol-Plymouth Regional Vocational Technical,08100000,"   1,340",89.00,   3.1,   4.3,   0.0,   0.0,   0.1,   0.0,   0.0
Brockton,00440000,"  16,143",1551.00,   1.5,   9.1,   0.0,   0.0,   0.5,   0.0,   0.0
Brooke Charter School (District),04280000,"   2,238",217.00,   5.0,   6.8,   0.1,   0.0,   0.1,   0.0,   0.0
Brookfield,00450000,     294,1.00,,,,,,,
Brookline,00460000,"   7,280",63.00,   0.6,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
Burlington,00480000,"   3,564",53.00,   0.6,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
Cambridge,00490000,"   6,908",116.00,   0.3,   1.4,   0.0,   0.0,   0.5,   0.0,   0.0
Canton,00500000,"   3,339",117.00,   1.7,   3.0,   0.0,   0.0,   0.0,   0.0,   0.0
Cape Cod Lighthouse Charter (District),04320000,     253,4.00,,,,,,,
Cape Cod Regional Vocational Technical,08150000,     670,80.00,   7.9,   6.0,   0.0,   0.0,   0.0,   0.0,   0.0
Carlisle,00510000,     628,11.00,   0.6,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
Carver,00520000,"   1,549",72.00,   0.9,   4.3,   0.0,   0.0,   0.0,   0.0,   0.0
Central Berkshire,06350000,"   1,579",93.00,   3.9,   3.4,   0.0,   0.0,   0.0,   0.0,   0.0
Chelmsford,00560000,"   5,151",119.00,   1.0,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
Chelsea,00570000,"   6,661",312.00,   3.2,   1.9,   0.0,   0.0,   0.3,   0.0,   0.0
Chesterfield-Goshen,06320000,     153,0.00,,,,,,,
Chicopee,00610000,"   7,271",545.00,   2.9,   6.1,   0.0,   0.0,   0.0,   0.0,   0.0
Christa McAuliffe Charter Public (District),04180000,     398,41.00,   4.0,   8.0,   0.0,   0.0,   0.0,   0.0,   0.0
City on a Hill Charter Public School (District),04370000,     242,27.00,   0.0,  11.2,   0.0,   0.0,   0.0,   0.0,   0.0
Clarksburg,00630000,     211,8.00,   1.9,   2.8,   0.0,   0.0,   0.5,   0.0,   0.0
Clinton,00640000,"   2,052",119.00,   2.2,   4.3,   0.0,   0.0,   0.0,   0.0,   0.0
Codman Academy Charter Public (District),04380000,     362,12.00,   0.0,   3.3,   0.0,   0.0,   0.0,   0.0,   0.0
Cohasset,00650000,"   1,440",6.00,   0.1,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Collegiate Charter School of Lowell (District),35030000,"   1,180",57.00,   0.0,   4.8,   0.0,   0.0,   0.0,   0.0,   0.0
Community Charter School of Cambridge (District),04360000,     296,25.00,   2.0,   2.4,   0.0,   0.0,   6.8,   0.0,   0.0
Community Day Charter Public School - Gateway (District),04260000,     408,3.00,,,,,,,
Community Day Charter Public School - Prospect (District),04400000,     408,1.00,,,,,,,
Community Day Charter Public School - R. Kingman Webster (District),04310000,     410,3.00,,,,,,,
Concord,00670000,"   2,044",7.00,   0.2,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0
Concord-Carlisle,06400000,"   1,333",7.00,   0.2,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
Conservatory Lab Charter (District),04390000,     468,6.00,   0.0,   1.3,   0.0,   0.0,   0.0,   0.0,   0.0
Conway,00680000,     147,0.00,,,,,,,
Danvers,00710000,"   3,331",82.00,   0.5,   2.3,   0.0,   0.0,   0.0,   0.0,   0.0
Dartmouth,00720000,"   3,493",88.00,   0.6,   2.3,   0.0,   0.0,   0.0,   0.0,   0.0
Dedham,00730000,"   2,647",105.00,   1.3,   3.2,   0.0,   0.0,   0.5,   0.0,   0.0
Deerfield,00740000,     338,0.00,,,,,,,
Dennis-Yarmouth,06450000,"   3,010",23.00,   0.2,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Dighton-Rehoboth,06500000,"   2,650",52.00,   0.7,   1.5,   0.0,   0.0,   0.2,   0.0,   0.0
Douglas,00770000,"   1,215",62.00,   1.8,   4.0,   0.0,   0.0,   0.0,   0.0,   0.0
Dover,00780000,     504,0.00,,,,,,,
Dover-Sherborn,06550000,"   1,171",25.00,   0.8,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
Dracut,00790000,"   3,796",157.00,   1.0,   3.7,   0.0,   0.0,   0.0,   0.0,   0.0
Dudley Street Neighborhood Charter School (District),04070000,     293,0.00,,,,,,,
Dudley-Charlton Reg,06580000,"   3,597",123.00,   2.7,   1.4,   0.0,   0.0,   0.0,   0.0,   0.0
Duxbury,00820000,"   2,846",45.00,   1.3,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
East Bridgewater,00830000,"   2,165",47.00,   1.1,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
East Longmeadow,00870000,"   2,540",52.00,   0.9,   1.6,   0.0,   0.0,   0.0,   0.0,   0.0
Eastham,00850000,     202,0.00,,,,,,,
Easthampton,00860000,"   1,479",110.00,   5.3,   4.7,   0.0,   0.0,   0.0,   0.0,   0.0
Easton,00880000,"   3,517",107.00,   2.1,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
Edgartown,00890000,     442,0.00,,,,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     401,27.00,   0.2,   6.7,   0.0,   0.0,   0.0,   0.0,   0.0
Erving,00910000,     135,0.00,,,,,,,
Essex North Shore Agricultural and Technical School District,08170000,"   1,661",27.00,   0.0,   1.6,   0.0,   0.0,   0.0,   0.0,   0.0
Everett,00930000,"   7,922",277.00,   0.5,   3.2,   0.0,   0.0,   0.1,   0.0,   0.0
Excel Academy Charter (District),04100000,"   1,414",105.00,   0.8,   7.1,   0.0,   0.0,   0.0,   0.1,   0.0
Fairhaven,00940000,"   1,907",9.00,   0.2,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Fall River,00950000,"  11,247",1100.00,   2.7,   8.5,   0.0,   0.0,   0.0,   0.0,   0.0
Falmouth,00960000,"   3,184",115.00,   2.3,   2.0,   0.0,   0.0,   0.5,   0.0,   0.1
Farmington River Reg,06620000,     120,0.00,,,,,,,
Fitchburg,00970000,"   5,630",452.00,   2.8,   6.4,   0.0,   0.0,   0.8,   0.0,   0.0
Florida,00980000,     105,0.00,,,,,,,
Four Rivers Charter Public (District),04130000,     229,5.00,,,,,,,
Foxborough,00990000,"   2,559",94.00,   1.3,   3.2,   0.0,   0.0,   0.0,   0.0,   0.0
Foxborough Regional Charter (District),04460000,"   1,716",63.00,   1.1,   3.2,   0.0,   0.0,   0.0,   0.0,   0.0
Framingham,01000000,"  10,005",538.00,   3.3,   3.5,   0.0,   0.0,   0.7,   0.0,   0.0
Francis W. Parker Charter Essential (District),04780000,     390,9.00,   0.8,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0
