District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"     $11,881,609",94149.00,    126.2
Acton-Boxborough,06000000,"     $34,234,578",89246.00,    383.6
Acushnet,00030000,"      $5,173,481",73383.00,     70.5
Agawam,00050000,"     $25,960,018",84533.00,    307.1
Amesbury,00070000,"     $13,587,070",81751.00,    166.2
Amherst,00080000,"      $9,664,620",80338.00,    120.3
Amherst-Pelham,06050000,"      $9,628,651",85588.00,    112.5
Andover,00090000,"     $44,045,945",91896.00,    479.3
Arlington,00100000,"     $35,811,485",81650.00,    438.6
Ashburnham-Westminster,06100000,"     $11,631,430",71534.00,    162.6
Ashland,00140000,"     $16,908,571",83540.00,    202.4
Assabet Valley Regional Vocational Technical,08010000,"      $9,051,274",78434.00,    115.4
Athol-Royalston,06150000,"      $7,415,511",66567.00,    111.4
Attleboro,00160000,"     $34,080,752",88775.00,    383.9
Auburn,00170000,"     $14,401,589",77553.00,    185.7
Avon,00180000,"      $5,343,108",78345.00,     68.2
Ayer Shirley School District,06160000,"      $9,403,905",70600.00,    133.2
Barnstable,00200000,"     $33,421,064",85128.00,    392.6
Bedford,00230000,"     $23,190,429",97644.00,    237.5
Belchertown,00240000,"     $12,575,818",74501.00,    168.8
Bellingham,00250000,"     $13,329,518",82383.00,    161.8
Belmont,00260000,"     $27,455,202",96334.00,    285.0
Berkley,00270000,"      $4,565,839",72704.00,     62.8
Berkshire Hills,06180000,"      $9,081,789",79805.00,    113.8
Berlin-Boylston,06200000,"      $6,832,032",76764.00,     89.0
Beverly,00300000,"     $26,942,167",80233.00,    335.8
Billerica,00310000,"     $34,272,836",92504.00,    370.5
Blackstone Valley Regional Vocational Technical,08050000,"      $8,537,741",82442.00,    103.6
Blackstone-Millville,06220000,"      $9,027,012",77485.00,    116.5
Blue Hills Regional Vocational Technical,08060000,"      $7,834,589",92172.00,     85.0
Boston,00350000,"    $463,706,080",105235.00,"  4,406.4"
Bourne,00360000,"     $12,374,661",86901.00,    142.4
Boxford,00380000,"      $5,259,132",80910.00,     65.0
Braintree,00400000,"     $38,022,824",89698.00,    423.9
Brewster,00410000,"      $3,588,352",81739.00,     43.9
Bridgewater-Raynham,06250000,"     $29,820,743",88568.00,    336.7
Brimfield,00430000,"      $2,017,768",79754.00,     25.3
Bristol County Agricultural,09100000,"      $2,615,403",74301.00,     35.2
