District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District),04450000,81.00,527,,512
Abington,00010000,126.00,549,,521
Academy Of the Pacific Rim Charter Public (District),04120000,2.00,,,
Acton-Boxborough,06000000,449.00,655,,681
Advanced Math and Science Academy Charter (District),04300000,211.00,604,,634
Agawam,00050000,106.00,549,,538
Amesbury,00070000,101.00,574,,566
Amherst-Pelham,06050000,127.00,633,,633
Andover,00090000,402.00,611,,619
Argosy Collegiate Charter School (District),35090000,24.00,473,,488
Arlington,00100000,387.00,626,,619
Ashburnham-Westminster,06100000,71.00,575,,565
Ashland,00140000,226.00,593,,610
Assabet Valley Regional Vocational Technical,08010000,70.00,534,,511
Athol-Royalston,06150000,11.00,495,,516
Atlantis Charter (District),04910000,136.00,441,,418
Attleboro,00160000,247.00,549,,533
Auburn,00170000,134.00,553,,542
Avon,00180000,28.00,534,,526
Ayer Shirley School District,06160000,67.00,550,,518
Barnstable,00200000,158.00,559,,550
Baystate Academy Charter Public School (District),35020000,30.00,452,,443
Bedford,00230000,216.00,618,,620
Belchertown,00240000,117.00,571,,559
Bellingham,00250000,88.00,550,,527
Belmont,00260000,329.00,653,,662
Berkshire Arts and Technology Charter Public (District),04140000,26.00,555,,535
Berkshire Hills,06180000,97.00,557,,539
Berlin-Boylston,06200000,57.00,567,,563
Beverly,00300000,287.00,546,,517
Billerica,00310000,230.00,535,,529
Blackstone Valley Regional Vocational Technical,08050000,290.00,565,,542
Blackstone-Millville,06220000,46.00,547,,509
Blue Hills Regional Vocational Technical,08060000,102.00,517,,501
Boston,00350000,3269.00,502,,507
Boston Collegiate Charter (District),04490000,85.00,514,,505
Boston Day and Evening Academy Charter (District),04240000,11.00,496,,489
Boston Green Academy Horace Mann Charter School (District),04110000,82.00,415,,390
Boston Preparatory Charter Public (District),04160000,69.00,437,,444
Bourne,00360000,130.00,534,,500
Braintree,00400000,444.00,562,,568
Bridgewater-Raynham,06250000,273.00,553,,551
Bristol County Agricultural,09100000,34.00,550,,519
Bristol-Plymouth Regional Vocational Technical,08100000,99.00,506,,510
Brockton,00440000,231.00,509,,499
Brooke Charter School (District),04280000,124.00,490,,528
Brookline,00460000,416.00,644,,650
Burlington,00480000,184.00,584,,575
Cambridge,00490000,341.00,604,,590
Canton,00500000,281.00,565,,569
Cape Cod Regional Vocational Technical,08150000,20.00,516,,491
Carver,00520000,79.00,543,,528
Central Berkshire,06350000,65.00,536,,530
Chelmsford,00560000,284.00,579,,583
Chelsea,00570000,65.00,474,,472
Chicopee,00610000,121.00,547,,525
City on a Hill Charter Public School (District),04370000,6.00,,,
Clinton,00640000,45.00,525,,506
Codman Academy Charter Public (District),04380000,39.00,416,,402
Cohasset,00650000,131.00,604,,577
Collegiate Charter School of Lowell (District),35030000,15.00,517,,536
Community Charter School of Cambridge (District),04360000,55.00,497,,493
Concord-Carlisle,06400000,291.00,644,,648
Danvers,00710000,123.00,552,,528
Dartmouth,00720000,207.00,556,,548
Dedham,00730000,167.00,543,,561
Dennis-Yarmouth,06450000,106.00,550,,518
Dighton-Rehoboth,06500000,104.00,557,,540
Douglas,00770000,59.00,592,,547
Dover-Sherborn,06550000,172.00,643,,645
Dracut,00790000,157.00,522,,526
Dudley-Charlton Reg,06580000,166.00,563,,559
Duxbury,00820000,221.00,597,,580
East Bridgewater,00830000,89.00,554,,529
East Longmeadow,00870000,140.00,582,,573
Easthampton,00860000,44.00,559,,536
Easton,00880000,280.00,568,,566
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,146.00,428,,410
Essex North Shore Agricultural and Technical School District,08170000,298.00,529,,501
Everett,00930000,281.00,495,,474
Excel Academy Charter (District),04100000,165.00,475,,484
Fairhaven,00940000,116.00,542,,555
Fall River,00950000,164.00,509,,499
Falmouth,00960000,127.00,592,,573
Fitchburg,00970000,239.00,467,,454
Four Rivers Charter Public (District),04130000,25.00,607,,552
Foxborough,00990000,186.00,576,,578
Foxborough Regional Charter (District),04460000,80.00,570,,525
Framingham,01000000,461.00,564,,571
Francis W. Parker Charter Essential (District),04780000,55.00,607,,560
Franklin,01010000,508.00,583,,569
Franklin County Regional Vocational Technical,08180000,10.00,510,,479
Freetown-Lakeville,06650000,127.00,581,,568
Frontier,06700000,54.00,593,,576
Gardner,01030000,101.00,497,,467
Gateway,06720000,14.00,595,,549
